ID	Place	Group	Originals	Simplified	COGID	Alignment
01.0.001	Albanian	Albanian	mot i mīr	motimīr	1	m o t - i m - ī r
01.0.002	Albanian	Albanian	koh e mīr	kohemīr	2	k o h - e m ī r -
01.0.002	Albanian	Albanian	mot i mīr	motimīr	1	m o t - i m - ī r
01.0.003	Albanian	Albanian	'kohi̯a mĒ̃r	kohi̯amĒ̃r	2	k o h i̯ a m Ē̃ r -
01.0.004	Albanian	Albanian	'koha mīr	kohamīr	2	k o h - a m ī r -
01.0.005	Albanian	Albanian	'koha mīr	kohamīr	2	k o h - a m ī r -
01.0.006	Albanian	Albanian	'koh‿e mir	kohemir	2	k o h - e m i r -
01.0.007	Albanian	Albanian	'koh‿e mir	kohemir	2	k o h - e m i r -
01.0.008	Albanian	Albanian	koh e mirǝ	kohemirǝ	2	k o h - e m i r ǝ
01.0.009	Albanian	Albanian	koh e mirǝ	kohemirǝ	2	k o h - e m i r ǝ
01.0.010	Albanian	Albanian	'koh‿e mir	kohemir	2	k o h - e m i r -
02.0.001	German	Germanic	ʃ'ønǝs v'εdǝr	ʃønǝsvεdǝr	3	- - - ʃ - ø - - - n - ǝ - s - - - v - ε d ǝ r
02.0.002	German	Germanic	ʃ'øn	ʃøn	4	ʃ ø n - - - - -
02.0.003	German	Germanic	ʃ'ønǝs v'εdǝr	ʃønǝsvεdǝr	3	- - - ʃ - ø - - - n - ǝ - s - - - v - ε d ǝ r
02.0.004	German	Germanic	ʃ'øn	ʃøn	4	ʃ ø n - - - - -
02.0.005	German	Germanic	ʃ'ønǝs v'εdǝr	ʃønǝsvεdǝr	3	- - - ʃ - ø - - - n - ǝ - s - - - v - ε d ǝ r
02.0.006	German	Germanic	ʃ'ønǝs v'εdǝr	ʃønǝsvεdǝr	3	- - - ʃ - ø - - - n - ǝ - s - - - v - ε d ǝ r
02.0.007	German	Germanic	ʃ'ønǝs v'εdǝr	ʃønǝsvεdǝr	3	- - - ʃ - ø - - - n - ǝ - s - - - v - ε d ǝ r
02.0.008	German	Germanic	ʃ'ønǝs v'εdǝr	ʃønǝsvεdǝr	3	- - - ʃ - ø - - - n - ǝ - s - - - v - ε d ǝ r
02.0.009	German	Germanic	ʃ'øn	ʃøn	4	ʃ ø n - - - - -
02.0.010	German	Germanic	ʒ'ε̄̃gl'ɔ͟ǝ	ʒε̄̃glɔ͟ǝ	5	ʒ ε̄̃ g l ɔ͟ǝ
02.0.011	German	Germanic	ʃ'ønǝs v'εdǝr	ʃønǝsvεdǝr	3	- - - ʃ - ø - - - n - ǝ - s - - - v - ε d ǝ r
02.0.012	German	Germanic	ʃ'ønǝs v'εdǝr	ʃønǝsvεdǝr	3	- - - ʃ - ø - - - n - ǝ - s - - - v - ε d ǝ r
02.0.013	German	Germanic	ʃ'ønǝs v'εdǝr	ʃønǝsvεdǝr	3	- - - ʃ - ø - - - n - ǝ - s - - - v - ε d ǝ r
02.0.014	German	Germanic	dɔ g'uɔtɔ	dɔguɔtɔ	6	d ɔ g u ɔ t ɔ
02.0.015	German	Germanic	g'utǝs v'εdǝr	gutǝsvεdǝr	3	- - - g - u - - - t - ǝ - s - - - v - ε d ǝ r
02.0.017	German	Germanic	ʃ'øn	ʃøn	4	ʃ ø n - - - - -
02.0.018	German	Germanic	ʃ'øn	ʃøn	4	ʃ ø n - - - - -
02.0.019	German	Germanic	ʃ'ønǝs v'εdǝr	ʃønǝsvεdǝr	3	- - - ʃ - ø - - - n - ǝ - s - - - v - ε d ǝ r
02.0.020	German	Germanic	ʃ'ønǝs v'εdǝr	ʃønǝsvεdǝr	3	- - - ʃ - ø - - - n - ǝ - s - - - v - ε d ǝ r
02.0.021	German	Germanic	ʃ'øn v'εdǝr	ʃønvεdǝr	3	- - - ʃ - ø - - - n - - - - - - - v - ε d ǝ r
02.0.022	German	Germanic	ʃ'øn v'εdǝr	ʃønvεdǝr	3	- - - ʃ - ø - - - n - - - - - - - v - ε d ǝ r
02.0.024	German	Germanic	ʃ'øn	ʃøn	4	ʃ ø n - - - - -
02.0.025	German	Germanic	ʃ'øn v'εdǝr	ʃønvεdǝr	3	- - - ʃ - ø - - - n - - - - - - - v - ε d ǝ r
02.0.026	German	Germanic	ʃ'ønǝs v'εdǝr	ʃønǝsvεdǝr	3	- - - ʃ - ø - - - n - ǝ - s - - - v - ε d ǝ r
02.0.027	German	Germanic	ʃ'øn	ʃøn	4	ʃ ø n - - - - -
02.0.028	German	Germanic	ʃ'øn v'εdǝr	ʃønvεdǝr	3	- - - ʃ - ø - - - n - - - - - - - v - ε d ǝ r
02.0.029	German	Germanic	ʃ'ønǝs v'εdǝr	ʃønǝsvεdǝr	3	- - - ʃ - ø - - - n - ǝ - s - - - v - ε d ǝ r
02.0.030	German	Germanic	ʃ'øn	ʃøn	4	ʃ ø n - - - - -
02.0.031	German	Germanic	ʃ'ønǝs v'εdǝr	ʃønǝsvεdǝr	3	- - - ʃ - ø - - - n - ǝ - s - - - v - ε d ǝ r
02.0.032	German	Germanic	ʃ'ønǝs v'εdǝr	ʃønǝsvεdǝr	3	- - - ʃ - ø - - - n - ǝ - s - - - v - ε d ǝ r
02.0.033	German	Germanic	ʃ'øn	ʃøn	4	ʃ ø n - - - - -
02.0.034	German	Germanic	g'utǝs v'εdǝr	gutǝsvεdǝr	3	- - - g - u - - - t - ǝ - s - - - v - ε d ǝ r
02.0.035	German	Germanic	ʃ'ønǝs v'εdǝr	ʃønǝsvεdǝr	3	- - - ʃ - ø - - - n - ǝ - s - - - v - ε d ǝ r
02.0.036	German	Germanic	ʃ'øn	ʃøn	4	ʃ ø n - - - - -
02.0.037	German	Germanic	ʃ'ønǝs v'εdǝr	ʃønǝsvεdǝr	3	- - - ʃ - ø - - - n - ǝ - s - - - v - ε d ǝ r
02.0.038	German	Germanic	h'ε͟ǝligz β'e͟idɔ	hε͟ǝligzβe͟idɔ	7	h ε͟ǝ - l i g z β e͟i - d ɔ -
02.0.039	German	Germanic	ʃ'ønǝs v'εdǝr	ʃønǝsvεdǝr	3	- - - ʃ - ø - - - n - ǝ - s - - - v - ε d ǝ r
02.0.040	German	Germanic	ʃ'øn v'εdǝr	ʃønvεdǝr	3	- - - ʃ - ø - - - n - - - - - - - v - ε d ǝ r
02.0.041	German	Germanic	ʃ'ønǝs v'εdǝr	ʃønǝsvεdǝr	3	- - - ʃ - ø - - - n - ǝ - s - - - v - ε d ǝ r
02.0.042	German	Germanic	ʃ'ønǝs v'εdǝr	ʃønǝsvεdǝr	3	- - - ʃ - ø - - - n - ǝ - s - - - v - ε d ǝ r
02.0.043	German	Germanic	ʃ'ønǝs v'εdǝr	ʃønǝsvεdǝr	3	- - - ʃ - ø - - - n - ǝ - s - - - v - ε d ǝ r
02.0.044	German	Germanic	ʃ'ønǝs v'εdǝr	ʃønǝsvεdǝr	3	- - - ʃ - ø - - - n - ǝ - s - - - v - ε d ǝ r
02.0.046	German	Germanic	ʃ'øn	ʃøn	4	ʃ ø n - - - - -
02.0.048	German	Germanic	ʃ'ønǝs v'εdǝr	ʃønǝsvεdǝr	3	- - - ʃ - ø - - - n - ǝ - s - - - v - ε d ǝ r
02.1.101	Croatian	Slavic	lī̀po vrī̀me	lī̀povrī̀me	8	- - l ī̀ p - o v r ī̀ - - m e
02.1.102	Slovene	Slavic	lḙpá ū̀Ra	lḙpáū̀Ra	9	l ḙ p á - - ū̀ R a
03.1.101	Walloon	Romance	bō	bō	10	b ō - - - - - - - -
03.1.102	Walloon	Romance	bō	bō	10	b ō - - - - - - - -
03.1.103	Walloon	Romance	dy bɔ̃ tã	dybɔ̃tã	11	d y b ɔ̃ t ã -
03.1.104	Walloon	Romance	dy bɔ̃ tã	dybɔ̃tã	11	d y b ɔ̃ t ã -
03.1.104	Walloon	Romance	dy bō tã	dybōtã	11	d y b ō t ã -
03.1.105	Walloon	Romance	bō	bō	10	b ō - - - - - - - -
03.1.106	Walloon	Romance	bō	bō	10	b ō - - - - - - - -
03.1.107	Walloon	Romance	bō	bō	10	b ō - - - - - - - -
03.1.108	Walloon	Romance	dy sɔl'εj	dysɔlεj	11	d y s ɔ l ε j
03.1.108	Walloon	Romance	bō	bō	10	b ō - - - - - - - -
03.1.109	Walloon	Romance	dy bō tã	dybōtã	11	d y b ō t ã -
03.1.109	Walloon	Romance	bō	bō	10	b ō - - - - - - - -
