ALEpointcodeOLD	ALEpointcodeNEW	LanguageGroup	Language	PlaceName	Latitude	Longitude	PlaceNameALEnew	PlaceNameBasetable	PlaceNameALEOld	LatitudeALEOld	LongitudeALEOld	GeonamesURL
01.0.001	ALAl001	Albanian	Albanian	Vrith	42.3328	19.5414	Vrith	Vrith	VRITH	42.3000	19.5833	http://www.geonames.org/3183693/vrith.html
01.0.002	ALAl002	Albanian	Albanian	Pac	42.2875	20.2089	Pac	Pac	PAC	42.2500	20.1667	http://www.geonames.org/782109/pac.html
01.0.003	ALAl003	Albanian	Albanian	Burgajet	41.6365	20.0595	Burgajet	Burgajet	BURGAJET	41.6667	20.0833	http://www.geonames.org/783501/burgajet.html
01.0.004	ALAl004	Albanian	Albanian	Shkallnuer	41.2898	19.5174	Shkallnuer	Shkallnuer	SHKALLNUER	41.2500	19.5833	http://www.geonames.org/3184087/shkallnur.html
01.0.005	ALAl005	Albanian	Albanian	Çibërraka	41.1663	20.2064	Xibrakë	Xibrakë	XIBRAKE	41.1667	20.1667	http://www.geonames.org/781156/xibrake.html
01.0.006	ALAl006	Albanian	Albanian	Këmbëthekër	40.7542	20.6839	Këmbëthekër	Këmbëthekër	KEMBETHEKER	40.7500	20.6667	http://www.geonames.org/782838/kembetheker.html
01.0.007	ALAl007	Albanian	Albanian	Luar	40.7006	19.7028	Luar	Luar	LUAR	40.6667	19.7500	http://www.geonames.org/3184893/luar.html
01.0.008	ALAl008	Albanian	Albanian	Sheper	40.1714	20.3058	Sheper	Sheper	SHEPER	40.1667	20.3000	http://www.geonames.org/781681/sheper.html
01.0.009	ALAl009	Albanian	Albanian	Vuno	40.1397	19.6936	Vuno	Vuno	VUNO	40.1667	19.7000	http://www.geonames.org/3183686/vuno.html
01.0.010	ALAl010	Albanian	Albanian	Shalës	39.7139	20.1611	Shalës	Shalës	SHALES	39.7000	20.1667	http://www.geonames.org/363238/shales.html
02.0.001	ATG001	Germanic	German	Schärding	48.4605	13.4327	Schärding	Schärding	SCHAERDING	48.4167	13.5000	http://www.geonames.org/7872135/schaerding.html
02.0.002	ATG002	Germanic	German	Geboltskirchen	48.1532	13.6340	Geboltskirchen	Geboltskirchen	GEBOLTSKIRCHEN	48.1667	13.5833	http://www.geonames.org/2778766/geboltskirchen.html
02.0.003	ATG003	Germanic	German	Rohrbach	48.5723	13.9900	Rohrbach	Rohrbach	ROHRBACH	48.5833	14.0000	http://www.geonames.org/7873203/rohrbach-in-oberoesterreich.html
02.0.004	ATG004	Germanic	German	Kremsmünster	48.0544	14.1262	Kremsmünster	Kremsmünster	KREMSMUENSTER	48.0833	14.1667	http://www.geonames.org/7871034/kremsmuenster.html
02.0.005	ATG005	Germanic	German	Göstling	47.8072	14.9354	Göstling	Göstling	GOESTLING	47.8333	14.9167	http://www.geonames.org/2764290/stixenlehen.html
02.0.006	ATG006	Germanic	German	Freistadt	48.5022	14.5020	Freistadt	Freistadt	FREISTADT	48.5000	14.5000	http://www.geonames.org/7871993/freistadt.html
02.0.007	ATG007	Germanic	German	Grosspertholz	48.6297	14.8266	Grosspertholz	Grosspertholz	GROSSPERTHOLZ	48.7500	15.0000	http://www.geonames.org/2764535/steinbach.html
02.0.008	ATG008	Germanic	German	Waidhofen a.d. Thaya	48.8148	15.2838	Waidhofen a.d. Thaya	Waidhofen_a.d._Thaya	WAIDHOFEN A.D. THAYA	48.8333	15.3333	http://www.geonames.org/2774120/kleingoepfritz.html
02.0.009	ATG009	Germanic	German	Hürm bei Melk	48.1561	15.4131	Hürm bei Melk	Hürm_bei_Melk	HUERM BEI MELK	48.2500	15.3333	http://www.geonames.org/2775386/huerm.html
02.0.010	ATG010	Germanic	German	Unterretzbach	48.7670	16.0037	Unterretzbach	Unterretzbach	UNTERRETZBACH	48.7500	16.0000	http://www.geonames.org/2762687/unterretzbach.html
02.0.011	ATG011	Germanic	German	Absdorf	48.4001	15.9794	Absdorf	Absdorf	ABSDORF	48.4167	16.0000	http://www.geonames.org/2783055/absdorf.html
02.0.012	ATG012	Germanic	German	Mistelbach	48.5674	16.5722	Mistelbach	Mistelbach	MISTELBACH	48.5833	16.5833	http://www.geonames.org/2772944/lanzendorf.html
02.0.013	ATG013	Germanic	German	Stillfried	48.4106	16.8455	Stillfried	Stillfried	STILLFRIED	48.4167	16.8333	http://www.geonames.org/2764304/stillfried.html
02.0.014	ATG014	Germanic	German	Schruns	47.0803	9.9192	Schruns	Schruns	SCHRUNS	47.1667	9.9167	http://www.geonames.org/2765581/schruns.html
02.0.015	ATG015	Germanic	German	Schnepfau	47.3520	9.9441	Schnepfau	Schnepfau	SCHNEPFAU	47.4167	10.0000	http://www.geonames.org/2765798/schnepfau.html
02.0.017	ATG017	Germanic	German	Elbigenalp	47.2882	10.4332	Elbigenalp	Elbingenalp	ELBINGENALP	47.4167	10.5000	http://www.geonames.org/2780153/elbigenalp.html
02.0.018	ATG018	Germanic	German	Münster	47.4216	11.8336	Münster	Münster	MUENSTER	47.3333	11.5833	http://www.geonames.org/2771028/muenster.html
02.0.019	ATG019	Germanic	German	Zell am Ziller	47.2334	11.8819	Zell am Ziller	Zell_am_Ziller	ZELL AM ZILLER	47.2500	11.9167	http://www.geonames.org/2760632/zell-am-ziller.html
02.0.020	ATG020	Germanic	German	Brixen im Thale	47.4500	12.2500	Brixen bei Kitzbühl	Brixen_bei_Kitzbühl	BRIXEN BEI KITZBUEHL	47.5000	12.3333	http://www.geonames.org/2781394/brixen-im-thale.html
02.0.021	ATG021	Germanic	German	Piesendorf	47.2898	12.7184	Piesendorf	Piesendorf	PIESENDORF	47.2500	12.5000	http://www.geonames.org/7872246/piesendorf.html
